number,url,date,status,description
9995366,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9995366,04/09/2012,PASSED,ANNUAL INSPECTION
10411517,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10411517,03/07/2012,PASSED,BOILER ANNUAL INSPECTION
10530867,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10530867,02/21/2012,FAILED,ANNUAL INSPECTION
10230414,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10230414,10/27/2011,FAILED,ANNUAL INSPECTION
10167186,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10167186,09/12/2011,PASSED,ANNUAL INSPECTION
10155814,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10155814,07/13/2011,PASSED,VENT ANNUAL
9952632,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9952632,05/05/2011,FAILED,CONSERVATION ANNUAL
10089951,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10089951,02/22/2011,PASSED,BOILER ANNUAL INSPECTION
10002293,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10002293,01/12/2011,PASSED,ANNUAL INSPECTION
10002295,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10002295,01/12/2011,FAILED,ANNUAL INSPECTION
2374203,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2374203,10/04/2010,PASSED,REFRIGERATION ANNUAL
9974938,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9974938,09/09/2010,FAILED,ANNUAL INSPECTION
2677167,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2677167,09/09/2010,FAILED,ANNUAL INSPECTION
9762140,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9762140,09/02/2010,FAILED,ANNUAL INSPECTION
9959603,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9959603,06/30/2010,FAILED,CONSERVATION COMPLAINT INSPECT
2688652,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2688652,06/15/2010,FAILED,CONSERVATION ANNUAL
9748377,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9748377,02/11/2010,PASSED,BOILER ANNUAL INSPECTION
2354095,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2354095,12/29/2009,PASSED,PERMIT INSPECTION
2639899,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2639899,08/21/2009,PASSED,VENT ANNUAL
1896682,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1896682,07/27/2009,CLOSED,ELECTRICAL PERMIT INSPECTION
2576872,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2576872,03/25/2009,PASSED,DOB VENT/FURNACE INSPECTION
2565707,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2565707,03/25/2009,PASSED,DOB PLUMBING INSPECTION
2576870,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2576870,03/25/2009,PASSED,ELECTRICAL PERMIT INSPECTION
2408216,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408216,03/25/2009,PASSED,DOB NEW CONSTRUCTION INSP
2648465,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2648465,03/04/2009,FAILED,CONSERVATION ANNUAL
2559724,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2559724,01/30/2009,PASSED,DOB VENT/FURNACE INSPECTION
2408214,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408214,01/30/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION
2408213,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2408213,01/30/2009,PARTIAL PASSED,ELECTRICAL PERMIT INSPECTION
2559720,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2559720,01/29/2009,PASSED,DOB VENT/FURNACE INSPECTION
2565706,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2565706,01/26/2009,PARTIAL PASSED,DOB PLUMBING INSPECTION
2008609,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2008609,01/23/2009,PASSED,CONSTRUCTION EQUIPMENT PERMIT
2561851,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561851,01/21/2009,PASSED,BOILER PERMIT INSPECTION
2561849,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561849,01/21/2009,PASSED,BOILER PERMIT INSPECTION
2561850,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561850,01/21/2009,PASSED,BOILER PERMIT INSPECTION
2564084,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2564084,01/21/2009,PASSED,BOILER PERMIT INSPECTION
2510789,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2510789,01/21/2009,PASSED,BOILER ANNUAL INSPECTION
2314825,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2314825,01/15/2009,PASSED,DOB PLUMBING INSPECTION
2020265,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020265,01/15/2009,PASSED,DOB VENT/FURNACE INSPECTION
1613908,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613908,01/15/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION
1613901,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613901,01/15/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION
2020266,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020266,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP
2017661,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2017661,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP
2017660,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2017660,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP
1839870,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1839870,01/15/2009,PASSED,BLDG_PERM IRON PERMIT INSP
1840048,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1840048,01/15/2009,PASSED,BLDG_PERM IRON PERMIT INSP
2020263,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020263,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION
1613904,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613904,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION
1613897,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613897,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION
2020264,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020264,01/15/2009,PASSED,DOB PLUMBING INSPECTION
1613906,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613906,01/15/2009,PASSED,DOB PLUMBING INSPECTION
1613907,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613907,12/31/2008,PASSED,DOB REFRIGERATION INSPECTION
1613900,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613900,12/31/2008,PASSED,DOB REFRIGERATION INSPECTION
2391718,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2391718,11/25/2008,PASSED,PUMP ACCEPTANCE TEST
2566069,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2566069,11/25/2008,PASSED,PUMP ACCEPTANCE TEST
2119488,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2119488,10/22/2008,FAILED,REFRIGERATION ANNUAL
2261834,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2261834,08/29/2008,PARTIAL PASSED,PERMIT INSPECTION
2314122,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2314122,07/11/2008,PARTIAL PASSED,DOB PLUMBING INSPECTION
1894630,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1894630,07/08/2008,PARTIAL PASSED,DOB PLUMBING INSPECTION
2168070,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2168070,06/02/2008,PASSED,CONSERVATION ANNUAL
2154189,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2154189,05/14/2008,PASSED,VENT ANNUAL
2074609,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2074609,04/09/2008,PASSED,BOILER ANNUAL INSPECTION
2091277,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2091277,04/04/2008,PASSED,ANNUAL INSPECTION
1966669,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1966669,02/27/2008,PARTIAL PASSED,PERMIT INSPECTION
1613902,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613902,11/01/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP
1871104,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1871104,11/01/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP
1943916,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1943916,08/15/2007,PARTIAL PASSED,PERMIT INSPECTION
1951026,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1951026,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
1973677,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1973677,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
2008607,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2008607,07/31/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
1957863,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1957863,07/13/2007,PASSED,CONSTRUCTION EQUIPMENT PERMIT
1937982,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1937982,07/13/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
1768615,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1768615,06/21/2007,PASSED,CONSERVATION ANNUAL
1912893,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1912893,06/13/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
1882042,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1882042,05/25/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
1621186,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1621186,05/16/2007,PARTIAL PASSED,PERMIT INSPECTION
1613899,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613899,05/10/2007,PARTIAL PASSED,DOB PLUMBING INSPECTION
1881043,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1881043,04/20/2007,PARTIAL PASSED,CONSTRUCTION EQUIPMENT PERMIT
1613909,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613909,04/06/2007,PARTIAL PASSED,DOB NEW CONSTRUCTION INSP
